category,desc,additives
着色剂,着色剂又称食品色素，是以食品着色为主要目的，使食品赋予色泽和改善食品色泽的物质,甜菜红、姜黄、β-胡萝卜素、叶绿素、紫胶红、胭脂虫红、红曲红、苋菜红、胭脂红、日落黄、柠檬黄、新红、诱惑红、酸性红、赤藓红、亮蓝、靛蓝
护色剂,护色剂主要用于肉制品，能与肉及肉制品中的呈色物质发生作用，使之在食品加工、保藏等过程中不分解、破坏，呈现良好色泽，一般泛指硝酸盐和亚硝酸盐。因为安全性的原因，绿色食品中禁止使用亚硝酸钠、亚硝酸钾、硝酸钠、硝酸钾,亚硝酸钠、亚硝酸钾、硝酸钠、硝酸钾、L-抗坏血酸及其钠盐、异抗坏血酸及其钠盐、烟酰胺
漂白剂,漂白剂是指能够破坏或者抑制食品色泽形成因素，使其色泽褪去或者避免食品褐变的一类添加剂。如果脯的生产、淀粉糖浆等制品的漂白处理等。漂白剂是指能够破坏或者抑制食品色泽形成因素，使其色泽褪去或者避免食品褐变的一类添加剂。如果脯的生产、淀粉糖浆等制品的漂白处理等。漂白剂的种类很多，但鉴于食品的安全性和及其本身的特殊性，真正适合应用于食品的漂白剂品种不多。按其作用机理分还原型漂白剂和氧化型漂白剂。还原型漂白剂在果蔬加工中应用较多，主要是通过其中的二氧化硫成分的还原作用，使果蔬中的色素成分分解或褪色。其作用比较缓和，但被其漂白的色素物质一旦再被氧化，可能重新显色。列入GB 2760—2011中的还原型漂白剂全部是以亚硫酸制剂为主，如亚硫酸钠、低亚硫酸钠（保险粉）、焦亚硫酸钠盐或钾盐、亚硫酸氢钠和硫黄等。氧化型漂白剂是通过本身的氧化作用破坏着色物质或发色基团，从而达到漂白的目的。氧化型漂白剂除了作为面粉处理剂的偶氮甲酰胺等少数品种外,亚硫酸钠、低亚硫酸钠、焦亚硫酸钠盐或钾盐、亚硫酸氢钠、硫黄
食用香料,食用香料是食品用香料的简称，是指能够用于调配食用香精，并增强食品香味的物质。食品用香料一般配制成食品用香精后用于食品加香，部分食品用香料也可直接用于食品加香。在食品中使用食品用香料、香精的目的是使食品产生、改善或增强食品的香味,枣子酊、橘子油、桂花浸膏、大蒜油树脂、天然薄荷脑、3-羟基-2-丁酮、乙基香兰素、乙基麦芽酚、2-甲基-3-甲硫基呋喃、庚酸烯丙酯、龙脑、薄荷脑、芳樟醇、D-木糖、丁香酚、香芹酚、麦芽酚、4-庚烯醛、苯甲醛、香兰素、甲基环戊烯醇酮、覆盆子酮、姜油酮、月桂酸、柠檬酸、L-谷氨酸、DL-蛋氨酸、乙酸乙酯、己酸乙酯、丁酸香叶酯、庚酸丙酯、苯甲酸苄酯、2-乙酰基呋喃、2-甲基-3-巯基呋喃、二糠基二硫醚、2-戊基噻吩、2-乙酰基噻唑、2-乙酰基吡啶、2，3-二甲基吡嗪
食用香精,食用香精是食品用香精的简称，是一种能够赋予食品香味的混合物。食用香精按用途可分为焙烤食品香精、软饮料香精、糖果香精、肉制品香精、奶制品香精、调味品香精、快餐食品香精、微波食品香精等
甜味剂,甜味剂是赋予食品以甜味的物质。甜味剂分为天然甜味剂（包括糖的衍生物和非糖天然甜味剂）和人工合成甜味剂（采用化学合成、改性等技术得到的各种不同特性的人工甜味剂）,甜味剂的甜度远高于蔗糖，其甜度以蔗糖为标准,糖精钠、甜蜜素、安赛蜜、AK糖、三氯蔗糖、阿斯巴甜、阿力甜、纽甜、罗汉果、甘草、甜菊糖苷
酸度调节剂,发面酸了加的碱面就是酸度调节剂，它是用以维持或改变食品酸碱度的物质。酸度调节剂包括酸、碱和盐。酸有有机酸和无机酸,富马酸、偏酒石酸、柠檬酸、乳酸、苹果酸、L（+）-酒石酸、冰乙酸、乙酸、己二酸、磷酸、盐酸、富马酸一钠、柠檬酸钠、柠檬酸钾、柠檬酸一钠、焦磷酸二氢二钠、焦磷酸钠、磷酸二氢钙、磷酸二氢钾、磷酸氢二铵、磷酸氢二钾、磷酸氢钙、磷酸三钙、磷酸三钾、磷酸三钠、六偏磷酸钠、三聚磷酸钠、磷酸二氢钠、磷酸氢二钠、硫酸钙、乳酸钙、乳酸钠、碳酸钾、碳酸钠、碳酸氢钾、碳酸氢钠、碳酸氢三钠、倍半碳酸钠、乙酸钠、氢氧化钙、氢氧化钾、氢氧化钠
增味剂,烹调时用的味精就是增味剂，它是补充或增强食品原有风味的物质,5′-肌苷酸二钠、5′-鸟苷酸二钠、糖精钠、纽甜、谷氨酸钠、氨基乙酸、L-丙氨酸、琥珀酸二钠、5′-肌苷酸二钠、5′-鸟苷酸二钠、5′-呈味核苷酸二钠
增稠剂,增稠剂是可以提高食品的黏稠度或形成凝胶，从而改变食品的物理性状，赋予食品黏润、适宜的口感，并兼有乳化、稳定或使其呈悬浮状态作用的物质。,阿拉伯胶、卡拉胶、果胶、琼胶、海藻酸类、罗望子胶、甲壳素、瓜尔胶、黄原胶、明胶、干酪素、壳聚糖、羧甲基纤维素钠、海藻酸丙二醇酯、羧甲基淀粉钠、羟丙基淀粉醚、淀粉磷酸酯钠
乳化剂,乳化剂用途非常广泛，在我们熟悉的糕点、人造奶油、冰淇淋、饮料、乳制品、巧克力等食品中都要用到乳化剂。如用于糕点中，可使脂肪均匀分散，防止油脂渗出；用于冰淇淋中，可以得到质地干燥、疏松、保形性好、表面光滑的冰淇淋产品。乳化剂是能改善乳化体中各种构成相之间的表面张力，形成均匀分散体或乳化体的物质。,大豆磷脂、酪蛋白酸钠、蔗糖脂肪酸酯、司盘60、硬脂酰乳酸钙
凝固剂,凝固剂是使食品结构稳定、使加工食品的形态固化、降低或消除其流动性、且使组织结构不变形、增加固形物而加入的物质,硫酸钙、氯化钙、氯化镁、丙二醇、乙二胺四乙酸二钠、柠檬酸亚锡二钠、葡萄糖酸-δ-内酯、不溶性聚乙烯吡咯烷酮
膨松剂,膨松剂，又称疏松剂，是在食品加工过程中加入的，能使产品发起形成致密多孔组织，从而使制品具有膨松、柔软或酥脆的物质,葡萄糖酸-δ,碳酸氢钠、碳酸氢铵、轻质碳酸钙、硫酸铝钾、硫酸铝铵
胶姆糖基础剂,胶姆糖基础剂是赋予口香糖和泡泡糖等胶姆糖起泡、增塑、耐咀嚼的物质,胶姆糖
水分保持剂,为了在食品加工中保持肉类及水产品的水分，增强原料的水分稳定性和持水性，有时候需要添加水分保持剂,乳酸盐、甘油、丙二醇、麦芽糖精、山梨糖醇和聚葡萄糖、磷酸盐
抗结剂,防止颗粒或粉状食品聚集结块，保持它们的松散或自由流动,亚铁氰化钾、硅铝酸钠、磷酸三钙、二氧化硅和微晶纤维素。除亚铁氰化钾和磷酸三钙
防腐剂,防腐剂是指一类加入食品中能防止或延缓食品腐败的食品添加剂，其本质是具有抑制微生物增殖或杀死微生物的一类化合物,苯甲酸及其盐类、山梨酸及其盐类、对羟基苯甲酸及其酯类、乳酸、亚硫酸及其盐类、二氧化碳、亚硝酸盐类、游离氯及次氯酸盐
抗氧化剂,氧化作用是食品加工和保藏中所遇到的最为普遍的变质现象之一。食品被氧化后，不仅色、香、味等方面会发生不良的变化，还可能产生有毒有害物质。为防止因氧化引起的食品变质，GB 2760—2011规定可在食品中添加少量的可起到延迟或阻碍氧化作用的物质，这些物质就是抗氧化剂,茶多酚（TP）、生育酚、黄酮类、丁基羟基茴香醚（BHA）、二丁基羟基甲苯（BHT）、叔丁基对苯二酚（TBHQ）
稳定剂,稳定剂，顾名思义，就是使食品结构稳定，增强食品黏性固形物的一类添加剂,谷氨酰胺转氨酶、氯化钙、乳酸钙、柠檬酸钙、丙二醇、柠檬酸亚锡二钠、柠檬酸、苹果酸、酒石酸、多聚磷酸、EDTA
消泡剂,消泡剂是在食品加工过程中用来降低表面张力、消除泡沫的物质,脂肪醇、蜡、脂肪族酰胺、聚二甲基硅氧烷、聚氧丙烯氧化乙烯甘油醚
面粉处理剂,面粉处理剂是使面粉增白和提高焙烤制品质量的一类食品添加剂,胡萝卜素、L-半胱氨酸盐酸盐、抗坏血酸、偶氮甲酰胺、碳酸镁、碳酸钙、过氧化苯甲酰、溴酸钾和偶氮甲酰胺
酶制剂,酶制剂的应用可提供新的食品品种，简化原有的生产工艺，增加产品产量，改善产品品质，降低原材料消耗并消除环境污染。,木瓜蛋白酶、α-淀粉酶制剂、精制果胶酶、β-葡萄糖酶、
食品工业用加工助剂,有助于食品加工工序顺利进行而添加的各种物质称为加工助剂。这些物质与食品本身不一定有关，它们一般应在食品中除去而不应成为最终食品的成分，或仅有残留。通常食品的加工需加入各种辅助物质，如助滤、澄清、吸附、润滑、脱模、脱色、脱皮、提取溶剂、发酵用营养物质等,乙二胺四乙酸二钠
被膜剂,被膜剂是指涂抹于食品外表，起保质、保鲜、上光、防止水分蒸发等作用的物质。被膜剂主要应用于水果、蔬菜、软糖、鸡蛋等食品的保鲜,棕榈蜡、紫胶、矿物油、硬脂酸、蜂蜡
营养强化剂,为增强营养成分而加入食品中的天然的或人工合成的属于天然营养素范围的食品添加剂,钙、铁、锌、硒、镁、钾、钠、铜、维生素A、维生素D、维生素E、维生素C、B族维生素、叶酸、生物素、氨基酸类，如牛磺酸、赖氨酸、二十二碳六烯酸（DHA）、膳食纤维、卵磷脂