
"Number","Food Category","Max Level","Units","Notes"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP",""
"01.8.2","Dried whey and whey products, excluding whey cheeses","","GMP",""
"02.2.1","Butter","","GMP",""
"13.1.1","Infant formulae","2,000","mg/kg","72  55"
"13.1.2","Follow-up formulae","","GMP","72"
"13.1.3","Formulae for special medical purposes for infants","2,000","mg/kg","72  55"
"13.2","Complementary foods for infants and young children","","GMP","239"


(c) FAO and WHO 2009

